                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3988,                 2.8318,                  1.297,                0.65359,                 0.6918,                0.72923,                0.45854,                 1.1142,                 3.0943,                 1.1606,             0.00046272,             0.00046272,             0.00046272
                      2,                  1.339,                 2.0519,                 1.2618,                0.85284,                0.36366,                0.54449,                0.31333,                 1.3248,                 3.0102,                 1.3092,             0.00092976,             0.00092976,             0.00092976
                      3,                 1.3913,                 1.9774,                  1.269,                 0.3865,                0.36765,                0.35291,                0.17377,                  1.795,                 3.6455,                 1.8213,              0.0013874,              0.0013874,              0.0013874
                      4,                 1.3801,                 1.8412,                 1.2936,                0.72025,                0.52053,                0.64676,                0.39999,                 1.4734,                 2.2884,                  1.471,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.324,                  1.666,                 1.2449,                0.78058,                0.45902,                0.69821,                0.40795,                 1.3827,                  2.712,                 1.4441,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3567,                   1.68,                 1.2816,                0.70173,                0.64029,                0.74171,                0.44562,                 1.2739,                  2.355,                 1.3231,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2731,                 1.4685,                 1.2218,                0.89297,                0.74927,                0.87605,                0.57041,                  1.173,                 1.6687,                  1.252,              0.0013441,              0.0013441,              0.0013441
                      8,                  1.246,                  1.371,                 1.2226,                0.89629,                0.82519,                0.89003,                 0.6023,                 1.1604,                  1.298,                 1.2002,                0.00133,                0.00133,                0.00133
                      9,                 1.2273,                  1.263,                 1.1868,                0.80414,                0.64628,                0.77983,                0.49533,                 1.2364,                 1.5364,                 1.2841,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2677,                  1.273,                 1.2319,                0.92577,                0.82625,                0.93135,                0.61495,                  1.111,                 1.1389,                 1.1938,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2879,                 1.2403,                 1.2389,                0.84119,                0.87531,                0.89564,                0.56148,                 1.1935,                 1.2058,                 1.2617,              0.0012875,              0.0012875,              0.0012875
